# Sample quiz questions. Lines that start with # are ignored by the loader.
"B","The first safety measure you preform when you enter an automobile is:","Check Fuel Gauge","Buckle Seat Belt"
"C","While pulling away from a curb, after you preform all the necessary safety checks you have a collision who is liable?","The passenger","The spectator","The driver (you)"
"B","In city traffic you should signal how many feet before reaching your turning point?","50 ft.","100 ft.","200 ft.","500 ft."
"D","At higher speeds, such as on a freeway, you should signal how many seconds before making a maneuver?","3 Seconds","10 Seconds","30 Seconds","5 Seconds"
"B","The hand and arm signal should... while turning.","be continued","not be continued","",""
"A","When approaching a flashing railroad crossing how many feet back must you stop?","15 ft.","35 ft.","25 ft.","45 ft."
"C","What color cane does a legally blind person carry?","Red","Blue","White","Yellow"
"D","While passing to the right of a vehicle it is illegal if you move into or onto...","a bicycle lane","a right lane","a passing lane","the soft shoulder of the road."
"A","You are allowed to pass another vehicle if there is...","a broken yellow line","a street crossing","a bridge within a 100 ft.","a railroad crossing within a 100 ft."
"B","What condition does NOT effect your driving speed?","Roadway Surface","Your age","Weather conditions","How far ahead you can see"
"A","Where are you NOT legally obliged to reduce your speed to 15 MPH?","In a hospital zone","In an alley","At a 'Blind Intersection'","At a railroad crossing within a 100 ft."
"D","Where must you legally reduce your speed to 25 MPH even if there are no signs posted?","Hospital zone","Toll bridge","Construction area","Residential or business district"
"B","What is the maximum legal parking distance from a curb to either front or rear wheel of a car?","2 ft.","18 in.","12 in.","20 in."
"B","Where are you ALLOWED to park legally?","Within an intersection","20 ft. from a fire hydrant","In a tunnel, Tube or Bridge","Within 15 ft. of a fire house driveway"
"A","When you are approaching an orange warning sign it means...","construction ahead","school zone ahead","yield the right of way","Railroad crossing ahead"
"C","During night driving at what distance from a car in front of you should you switch to low beams?","100 ft. away","200 ft. away","300 ft. away","400 ft. away"
"D","If while driving you become tired, drowsy, or sleepy you should?","Take a stimulant","Open the window","Drink some coffee","Pull off the road and rest"
"A","When two cars meet on a steep, narrow road who has the right of way?","The car going downhill","The car going uphill","Neither car","Both cars"
"C","When driving at night in fog, it is best to use your...","horn","parking lights","low beams","high beams"
"D","Which is NOT considered a drug?","Diet Pills","Cold Medicine","Sleeping Pills","Vitamin Pills"
"D","Which test for alcohol may be taken if arrested?","Blood test","Urine Test","Breath test","One of the three above"
"D","What is the minimum insurance coverage that should be carried?","$15,000 for death or injury","$5,000 for property damage","$30,000 for more than one injury","All of the above"
"B","Who is NOT eligible for a specially marked license plate?","Disabled Veteran","Senior Citizen","Handicapped Person","Licensed operators of CB's"
"B","If an officer of the law directs you to do something which is in direct violation of the law you should...","Ignore him, and do what is legal","Comply with his orders","",""
"A","What color curb is usually next to a mailbox?","White","Green","Yellow","Blue"
"C","What color curb marks a loading zone?","White","Green","Yellow","Blue"
"D","What color curb marks a handicapped zone?","White","Green","Yellow","Blue"
"B","What color curb means limited parking time allowed?","White","Green","Blue","Red"
"D","What color curb marks a NO Stopping, Standing or Parking?","Smog control devices","Green","Blue","Red"
"B","Which is NOT a required equipment on a new automobile?","With traffic","Fog lights","Fenders","Two headlights"
"B","While walking along a roadway in which direction do pedestrians travel?","With traffic","Against traffic","Across traffic","In either direction"
"A","While riding along a roadway in which direction do bike riders travel?","Left - Right","Against traffic","Beside traffic","In either direction"
"C","Before proceeding through an intersection, always look...","Left - Right","Right - Left","Left - Right - Left","Right - Left - Right"
"B","Select the best choice...","Always assume the other driver will yield if you legally have the Right Away","Never assume the other driver will yield if you legally have the Right Away","",""
"B","List the order, from top to bottom, the colors of a stop light?","Green - Yellow - Red","Red - Yellow - Green","Yellow - Green - Red","Red - Green - Yellow"
"B","What is the legal limit for blood alcohol percentage?","1.0 %","0.1 %","0.01 %","0.001 %"
"A","When does a legally blind person have the right of way?","Always","It depends","Seldom","Never"
"D","What is the total stopping distance for an automobile traveling at 55 MPH?","61.7 ft.","106.0 ft.","161.5 ft.","228.0 ft."
"A","What should you do if an emergency vehicle with flashing red lights and a siren pulls up behind you?","Pull over to the right and stop","Pull over to the left and stop","Stop, and wait","Nothing"
"D","What must you do to park on a hill when the front of your car points down?","Set your parking brake","Shift to park or reverse","Curb your wheels toward the right","All of the above A, B, and C"
"C","Whom must you yield the right of way to, if you are making a left at an intersection?","Nobody","Everybody","All drivers coming from the opposite direction","Only cars on the right"
"D","When may you cross or drive in a specially marked bike lane?","To park","To Pass","To Make a turn","Both A and C"
"A","How can you tell if a car is in your blind spot?","Glance over your shoulder","Use your rear view mirror","Use your side mirrors","Both B and C"
"A","What is meant by the 'BASIC SPEED LAW'?","Never drive faster than it is safe","Never go slower than traffic","Never travel faster than 55 MPH","Obey the legal posted speed limit"
"B","What does a flashing red light mean at an intersection?","Stop and Wait","Stop then continue","Caution - slow down","Construction ahead"
